n,shortcode,url,caption,cuenta,fecha,views,likes,comments,duracion_seg,transcripto
1,DL5s7QsOBiH,https://www.instagram.com/p/DL5s7QsOBiH/,¿Qué es mejor para ti? 👇,@lordconstruye,2025-07-09,5201426,267434,4120,68,no
2,DVq5z9iDnZb,https://www.instagram.com/p/DVq5z9iDnZb/,Escribe la palabra “CONSTRUIR” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el diner0 del banc0 🏦,@lordconstruye,2026-03-09,2418616,202385,12846,45,no
3,DVMF0llDpo5,https://www.instagram.com/p/DVMF0llDpo5/,Escribe la palabra “CONSTRUIR” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el diner0 del banc0 🏦,@lordconstruye,2026-02-25,1683330,76696,6520,45,no
4,DOY_PmfjmmW,https://www.instagram.com/p/DOY_PmfjmmW/,🇺🇸 Si quieres aprender a construir viviendas en EEUU y ganar (mínimo) 100.000 💰 por venta comenta la palabra “CONSTRUIR” en comentarios 👇,@lordconstruye,2025-09-09,1628883,69352,1273,60,no
5,DMQ5MdKuThL,https://www.instagram.com/p/DMQ5MdKuThL/,🇺🇸 Si quieres aprender a construir viviendas en EEUU y ganar (mínimo) 100.000 💰 por venta comenta la palabra “CONSTRUIR” en comentarios 👇,@lordconstruye,2025-07-18,1250775,55128,1635,52,no
6,DQ7GjIvjvgR,https://www.instagram.com/p/DQ7GjIvjvgR/,Escribe la palabra “CONSTRUIR” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el dinero del banco 🏦,@lordconstruye,2025-11-11,932754,47531,907,37,no
7,DQE6-qojkWE,https://www.instagram.com/p/DQE6-qojkWE/,"Escribe "" Construir "" en comentarios 👇 si quieres aprender a ganar 💰 en EEUU con el diner0 del banco",@lordconstruye,2025-10-21,849267,29049,1827,77,no
8,DVWUmYhjpaM,https://www.instagram.com/p/DVWUmYhjpaM/,Escribe la palabra “CONSTRUIR” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el diner0 del banc0 🏦,@lordconstruye,2026-03-01,536236,47395,685,78,no
9,DMizkvCs9us,https://www.instagram.com/p/DMizkvCs9us/,"Si quieres aprender ganar diner0 💰construyendo casa y gan4r (mínimo) 100.000 por operación comenta ""Construir"" en comentarios 👇",@lordconstruye,2025-07-25,516611,20625,10043,51,no
10,DSVTyXTjo5v,https://www.instagram.com/p/DSVTyXTjo5v/,Escribe la palabra “ESTUDIANTE” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el dinero del banco 🏦,@lordconstruye,2025-12-16,496963,16681,3344,48,no
11,DM8aLHKOWan,https://www.instagram.com/p/DM8aLHKOWan/,🇺🇸 Si quieres aprender a construir viviendas en EEUU y ganar (mínimo) 100.000 💰 por venta comenta la palabra “CONSTRUIR” en comentarios 👇,@lordconstruye,2025-08-04,441014,17415,353,49,no
12,DZVk1hhJOPA,https://www.instagram.com/p/DZVk1hhJOPA/,Escribe la palabra “CLASE” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el diner0 del banc0 🏦,@lordconstruye,2026-06-08,427544,17604,7540,88,no
13,DavN2YwuuiE,https://www.instagram.com/p/DavN2YwuuiE/,Escribe la palabra “GUIA” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el diner0 del banc0 🏦,@lordconstruye,2026-07-13,376258,17614,3372,76,no
14,DY7gYcGuRN0,https://www.instagram.com/p/DY7gYcGuRN0/,Escribe la palabra “CONSTRUIR” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el diner0 del banc0 🏦,@lordconstruye,2026-05-29,337217,22195,2206,45,no
15,DVZBlt4DtNq,https://www.instagram.com/p/DVZBlt4DtNq/,Escribe la palabra “TERRENO” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el diner0 del banc0 🏦,@lordconstruye,2026-03-02,330949,13856,3445,65,no
16,DZ5oGlcJbuZ,https://www.instagram.com/p/DZ5oGlcJbuZ/,Escribe la palabra “CLASE” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el diner0 del banc0 🏦,@lordconstruye,2026-06-22,311657,16518,1579,74,no
17,DYps1Z8JGyS,https://www.instagram.com/p/DYps1Z8JGyS/,Escribe la palabra “BANCO” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el diner0 del banc0 🏦,@lordconstruye,2026-05-22,284217,22002,1667,62,no
18,Db03X2MO8Ku,https://www.instagram.com/p/Db03X2MO8Ku/,Escribe la palabra “CASA” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el diner0 del banc0 🏦,@lordconstruye,2026-08-09,256682,14562,2868,83,no
19,DZDOg9LOh3v,https://www.instagram.com/p/DZDOg9LOh3v/,Escribe la palabra “CLASE” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el diner0 del banc0 🏦,@lordconstruye,2026-06-01,241238,17170,4154,89,no
20,DRxTYU_jlz3,https://www.instagram.com/p/DRxTYU_jlz3/,Escribe la palabra “Estudiante” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el dinero del banco 🏦,@lordconstruye,2025-12-02,235716,8885,1808,51,no
21,DT-2jDxDk8T,https://www.instagram.com/p/DT-2jDxDk8T/,Escribe la palabra “CONSTRUIR” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el diner0 del banc0 🏦,@lordconstruye,2026-01-26,235508,11665,2064,55,no
22,DZyBhFGJ6AK,https://www.instagram.com/p/DZyBhFGJ6AK/,Escribe la palabra “Terrenos” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el diner0 del banc0 🏦,@lordconstruye,2026-06-19,227518,9294,2191,69,no
23,DTYUh1ZDrmA,https://www.instagram.com/p/DTYUh1ZDrmA/,Escribe la palabra “ESTUDIANTE” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el diner0 del banc0 🏦,@lordconstruye,2026-01-11,213100,10624,1820,51,no
24,DQuXj4Ajs2h,https://www.instagram.com/p/DQuXj4Ajs2h/,Escribe la palabra “CONSTRUIR” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el dinero del banco 🏦,@lordconstruye,2025-11-06,212604,9885,151,52,no
25,DO1FKLKDuNz,https://www.instagram.com/p/DO1FKLKDuNz/,"Escribe la palabra ""CONSTRUIR” en comentarios👇  para enseñarte cómo ganar diner0 💰 construyendo con el dinero del banco 🏦",@lordconstruye,2025-09-20,211298,8301,425,53,no
26,DPwZsK1jiUB,https://www.instagram.com/p/DPwZsK1jiUB/,Escribe la palabra “CONSTRUIR” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el dinero del banco 🏦,@lordconstruye,2025-10-13,205419,9123,1398,58,no
27,DZ-cvtIuwA-,https://www.instagram.com/p/DZ-cvtIuwA-/,Escribe la palabra “CLASE” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el diner0 del banc0 🏦,@lordconstruye,2026-06-24,199698,10751,3417,67,no
28,DMGcbuiug55,https://www.instagram.com/p/DMGcbuiug55/,🇺🇸 Si quieres aprender a construir viviendas en EEUU y ganar (mínimo) 100.000 💰 por venta comenta la palabra “CONSTRUIR” en comentarios 👇,@lordconstruye,2025-07-14,199445,6690,577,43,no
29,DTTQIkhjkP7,https://www.instagram.com/p/DTTQIkhjkP7/,Escribe la palabra “CONSTRUIR” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el diner0 del banc0 🏦,@lordconstruye,2026-01-09,199089,14286,626,72,no
30,DNdshfKuDNI,https://www.instagram.com/p/DNdshfKuDNI/,🇺🇸 Si quieres aprender a construir viviendas en EEUU y ganar (mínimo) 100.000 💰 por venta comenta la palabra “CONSTRUIR” en comentarios 👇,@lordconstruye,2025-08-17,178809,7012,311,52,no
31,DL8Mi3Ou3ho,https://www.instagram.com/p/DL8Mi3Ou3ho/,"🇺🇸 Si quieres aprender a construir viviendas en EEUU y ganar (mínimo) 100.000 💰 por venta comenta la palabra ""CONSTRUIR"" en comentarios 👇",@lordconstruye,2025-07-10,176825,5324,401,74,no
32,DYFcuFDuIS_,https://www.instagram.com/p/DYFcuFDuIS_/,Escribe la palabra “CONSTRUIR” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el diner0 del banc0 🏦,@lordconstruye,2026-05-08,173382,7425,976,60,no
33,DTI5AXTDnzS,https://www.instagram.com/p/DTI5AXTDnzS/,Escribe la palabra “NEGOCIO” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el dinero del banc0 🏦,@lordconstruye,2026-01-05,166285,9244,1550,39,no
34,DRNDOixjgVy,https://www.instagram.com/p/DRNDOixjgVy/,Escribe la palabra “CONSTRUIR” en comentarios👇 para enseñarte cómo ganar diner0 💰 construyendo con el dinero del banco 🏦,@lordconstruye,2025-11-18,158267,5805,1291,59,no
