n,url,titulo,plataforma,cuenta,fecha,views,likes,comments,formato,transcripto
1,SIN DATO,29. Así que tú eres el vecino que no deja de comprar casas en este barrio. ¿Pero quién te crees tú que eres?,SIN DATO,SIN DATO,2026-07-26,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
2,SIN DATO,24.RR Cuanto cuesta realmente construir una casa? - IMG_0380.MOV,SIN DATO,SIN DATO,2026-07-24,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
3,SIN DATO,"27. mira, compré esta casa para remodelarla y venderla! ...... Que buena forma de perder dinero...... ¿qué? pero si estoy invirtiendo en bienes raices",SIN DATO,SIN DATO,2026-07-22,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
4,SIN DATO,25. que es mejor,SIN DATO,SIN DATO,2026-07-20,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
5,SIN DATO,27.RR Así es como los ricos usan la deuda para hacerse más ricos. - IMG_4538,SIN DATO,SIN DATO,2026-07-17,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
6,SIN DATO,22. que casa deja mas dinero ? con piscina o sin piscina ? acabados en madera o x ? con chimenea o sin chimenea?,SIN DATO,SIN DATO,2026-07-15,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
7,SIN DATO,23. buena inversion mala inversion,SIN DATO,SIN DATO,2026-07-12,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
8,SIN DATO,08.RR Pagué 276.000 por construir esta casa,SIN DATO,SIN DATO,2026-07-10,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
9,SIN DATO,21. bueno / malo / excelente con profesiones de construccion,SIN DATO,SIN DATO,2026-07-08,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
10,SIN DATO,"24. quien paga, comprador o vendedor",SIN DATO,SIN DATO,2026-07-06,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
11,SIN DATO,20. esto con modelos de inversion : flipping o buy to rent? buy to rent o x? x o y? ...,SIN DATO,SIN DATO,2026-07-05,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
12,SIN DATO,12.RR Cuales son los 5 mejores estados para invertir en EEUU - IMG_0627,SIN DATO,SIN DATO,2026-07-03,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
13,SIN DATO,19. quien gana mas ?,SIN DATO,SIN DATO,2026-07-01,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
14,SIN DATO,"18. este es el presupuesto para comprar y este para construirla, cual quieres?",SIN DATO,SIN DATO,2026-06-24,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
15,SIN DATO,17. clase media / rico / millonario,SIN DATO,SIN DATO,2026-06-22,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
16,SIN DATO,00.RR 3 Paginas para buscar terrenos,SIN DATO,SIN DATO,2026-06-19,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
17,SIN DATO,15. oye banco quiero hacer esto tu me prestas,SIN DATO,SIN DATO,2026-06-17,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
18,SIN DATO,"14. los pobres se compran el carro del año , los ricos entran en zillow",SIN DATO,SIN DATO,2026-06-15,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
19,SIN DATO,12. Si te sobran 100k,SIN DATO,SIN DATO,2026-06-14,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
20,SIN DATO,22.RR ¿Qué es mejor una casa de Madera o de concreto ¿Un - IMG_4523.MOV,SIN DATO,SIN DATO,2026-06-12,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
21,SIN DATO,"11. Oye cuánto ganas tú aquí? Oye cuanto ganas tu aqui? y tú cuanto ganas aquí? y tú cuanto ganas? (El objetivo con este vídeo es que le pregunte a cuatro personas, que una de ellas sea Ramón.",SIN DATO,SIN DATO,2026-06-10,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
22,SIN DATO,13. Cual es el peor error que puede cometer un latino en EEUU?,SIN DATO,SIN DATO,2026-06-08,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
23,SIN DATO,"17. RR (Cómo ganan dinero los constructores) Hola Banco mira, quiero comprar un terreno que cuesta 100k dolares pero yo no los tengo ¿Tú me los prestas - IMG_4526",SIN DATO,SIN DATO,2026-06-05,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
24,SIN DATO,"08. un ranking de cuanto pagan en cada profesion de la obra, tipo : electricista? - 50.000 al año, plomero ? xxxx, …. constructor ? xxxxxxxx$",SIN DATO,SIN DATO,2026-06-03,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
25,SIN DATO,"05. Así es cómo los ricos se hacen más ricos, comprando casas sin usar su dinero. (Aquí básicamente es un formato que se tiene que ver como bien grabado. No tiene por qué ser en la construcción. Se lo grabe en su casa con un buen fondo, que se vea elegante, con una mesa y que tenga unos elementos como de una casita, un muñeco, fajos de dinero y todo eso. Para poder representarlo bien como en el vídeo de referencia)",SIN DATO,SIN DATO,2026-06-01,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
26,SIN DATO,"24.RR Los pobres compran carros de año para aparentar que tienen dinero. Los ricos, - IMG_4529",SIN DATO,SIN DATO,2026-05-29,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
27,SIN DATO,10. Oye Vecino está bonita su casa nueva ¿Cuánto le costó construirla?,SIN DATO,SIN DATO,2026-05-27,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
28,SIN DATO,01. Cuánto me costó construír esta casa de aquí atrás en EEUU. ( con un papel en la mano como desglose ),SIN DATO,SIN DATO,2026-05-22,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
29,SIN DATO,09. es cierto que puedo construir casas sin dinero,SIN DATO,SIN DATO,2026-05-20,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
30,SIN DATO,"06. cuanto cuesta construir una casa en EEUU? mmmm, no quieras saberlo.",SIN DATO,SIN DATO,2026-05-18,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
31,SIN DATO,07.RR Como converti una inversion de 40Mil - IMG_8747,SIN DATO,SIN DATO,2026-05-15,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
32,SIN DATO,07. TOP 10 inversiones de REAL STATE,SIN DATO,SIN DATO,2026-05-13,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
33,SIN DATO,02. Construí esta casa por XXXX y la vendí por XXXX y este es el desglose completo,SIN DATO,SIN DATO,2026-05-11,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
34,SIN DATO,11.RR Los 5 Mejores Estados IMG_9147,SIN DATO,SIN DATO,2026-05-08,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
35,SIN DATO,"04. Compra terrenos en silencio, construye tu casa en silencio. Célebralo con tu familia en silencio y luego véndela al público, porque lo que no se puede ver no se puede joder. Como, por ejemplo, hice yo con esta vivienda: compré el terreno en tanto, la construí en tanto y la vendí en tanto.",SIN DATO,SIN DATO,2026-05-06,SIN DATO,SIN DATO,SIN DATO,SIN DATO,no
