n,shortcode,url,caption,cuenta,fecha,views,likes,comments,duracion_seg,transcripto
1,Dbn8zO3jv7Y,https://www.instagram.com/p/Dbn8zO3jv7Y/,"Comenta ""JURADO"" y déjame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-08-04,23889364,2278413,31751,138,no
2,DaVjQ6TAIha,https://www.instagram.com/p/DaVjQ6TAIha/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-03,22148337,1934623,35298,57,no
3,DbJKIKiDBps,https://www.instagram.com/p/DbJKIKiDBps/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-23,11412044,1195286,11567,65,no
4,DZQB2SYnTWO,https://www.instagram.com/p/DZQB2SYnTWO/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-06,8193919,805122,1884,46,no
5,DYFSfLDuwRR,https://www.instagram.com/p/DYFSfLDuwRR/,Sígueme en 👉🏼 @juradonegocios y mejora tu comunicación y tu oratoria.,@juradonegocios,2026-05-08,7309358,437350,5910,69,no
6,DagUl7IFakD,https://www.instagram.com/p/DagUl7IFakD/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-07,6869978,471525,15492,89,no
7,DbLuxxvjHRz,https://www.instagram.com/p/DbLuxxvjHRz/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-24,6004433,480026,10210,91,no
8,DabgLGXjfRG,https://www.instagram.com/p/DabgLGXjfRG/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-05,5727629,342887,13051,57,no
9,DabPC7FiRUo,https://www.instagram.com/p/DabPC7FiRUo/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-05,5722108,637990,7035,76,no
10,DaS-jz_n93r,https://www.instagram.com/p/DaS-jz_n93r/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-02,4774079,360921,10349,145,no
11,DbGlNqmiMsp,https://www.instagram.com/p/DbGlNqmiMsp/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-22,4750378,495778,11306,77,no
12,Day1xFgkkYr,https://www.instagram.com/p/Day1xFgkkYr/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-15,3446025,384994,4466,93,no
13,DY3HXgTDeRJ,https://www.instagram.com/p/DY3HXgTDeRJ/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-27,3297768,432040,492,28,no
14,DYF3o_fD4Zd,https://www.instagram.com/p/DYF3o_fD4Zd/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-08,3128160,265940,1687,82,no
15,Dadz-kNChi5,https://www.instagram.com/p/Dadz-kNChi5/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-06,2976354,314629,7096,98,no
16,DYYBbD2AEjX,https://www.instagram.com/p/DYYBbD2AEjX/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-15,2896450,372217,367,28,no
17,DbtNRtMDQsR,https://www.instagram.com/p/DbtNRtMDQsR/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-08-06,2877356,241633,7918,77,no
18,DW1oxaYAgZQ,https://www.instagram.com/p/DW1oxaYAgZQ/,Dale amor a un hombre y cambiará una corona por un beso. Sígueme en 👉 @juradonegocios para mejorar tu comunicación,@juradonegocios,2026-04-07,2724378,297214,1487,70,no
19,DaDogfcDABU,https://www.instagram.com/p/DaDogfcDABU/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-26,2563906,276245,3938,93,no
20,DaiGyf7ArLq,https://www.instagram.com/p/DaiGyf7ArLq/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-08,2451219,259609,2645,71,no
21,DbMDUa7kaUu,https://www.instagram.com/p/DbMDUa7kaUu/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-24,2429713,211663,1075,64,no
22,Db5-TQPkuRi,https://www.instagram.com/p/Db5-TQPkuRi/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-08-11,2318460,135266,3522,166,no
23,DbQ4SSziClA,https://www.instagram.com/p/DbQ4SSziClA/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-26,2179477,176200,3333,43,no
24,DYBHv8ACnSn,https://www.instagram.com/p/DYBHv8ACnSn/,Sígueme en 👉🏼 @juradonegocios para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-07,2097712,212089,248,86,no
25,DaliQtcFUsP,https://www.instagram.com/p/DaliQtcFUsP/,"Este 14 d de julio daré una clase en directo para ayudarte a cambiar tu vida y tu comunicación. Comenta ""JURADO"" para darte acceso👇",@juradonegocios,2026-07-09,1949987,179895,2814,94,no
26,Db83npiCuCs,https://www.instagram.com/p/Db83npiCuCs/,"Comenta ""JURADO"" y déjame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-08-12,1888456,115595,2182,138,no
27,DaBD3ZEDU0g,https://www.instagram.com/p/DaBD3ZEDU0g/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-25,1886381,164237,1349,48,no
28,DYSVsNwD95p,https://www.instagram.com/p/DYSVsNwD95p/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-13,1805713,207750,572,68,no
29,DYN8AGcE0p_,https://www.instagram.com/p/DYN8AGcE0p_/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-12,1802607,121842,884,39,no
30,DbizIYXk7cd,https://www.instagram.com/p/DbizIYXk7cd/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-08-02,1792914,158874,3649,74,no
31,DX7K9pfCt-h,https://www.instagram.com/p/DX7K9pfCt-h/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-04,1536933,210548,215,48,no
32,Dabm7Y1AX8C,https://www.instagram.com/p/Dabm7Y1AX8C/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-06,1526485,133530,682,57,no
33,DbtGVvfDUU4,https://www.instagram.com/p/DbtGVvfDUU4/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-08-06,1443670,90474,1764,135,no
34,Da0m6IYFA21,https://www.instagram.com/p/Da0m6IYFA21/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-07-15,1383614,100854,1380,77,no
35,DZsW5lLCCsB,https://www.instagram.com/p/DZsW5lLCCsB/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-17,1367418,124127,3174,75,no
36,DXxkbKxiFn4,https://www.instagram.com/p/DXxkbKxiFn4/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-04-30,1333942,153088,168,57,no
37,DaN10c5CGRD,https://www.instagram.com/p/DaN10c5CGRD/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-30,1306172,134079,286,81,no
38,DbeE19jD_P_,https://www.instagram.com/p/DbeE19jD_P_/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-31,1301084,96861,5237,96,no
39,DZGJ_kNEtJG,https://www.instagram.com/p/DZGJ_kNEtJG/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-02,1211613,74312,459,89,no
40,DbmH3_JCCOC,https://www.instagram.com/p/DbmH3_JCCOC/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-08-03,1076894,69835,1805,140,no
41,DbyP9TQlaXk,https://www.instagram.com/p/DbyP9TQlaXk/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-08-08,1063324,61830,2166,84,no
42,DZyQFYoEbap,https://www.instagram.com/p/DZyQFYoEbap/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-06-19,1046373,154058,615,77,no
43,DY25mpfFFgG,https://www.instagram.com/p/DY25mpfFFgG/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-27,1011423,84451,148,28,no
44,DX7-vYSCCLW,https://www.instagram.com/p/DX7-vYSCCLW/,Sígueme en @juradonegocios 👈🏼 para mejorar tu comunicación y oratoria.,@juradonegocios,2026-05-05,985475,88335,280,69,no
45,DbV7PqeiFpC,https://www.instagram.com/p/DbV7PqeiFpC/,"Comenta ""JURADO"" y dejame ayudarte a cambiar tu vida y tu comunicación.👇",@juradonegocios,2026-07-28,952920,58233,5423,95,no
