n,shortcode,url,caption,cuenta,fecha,views,likes,comments,duracion_seg,transcripto
1,DU0-rvQiSl3,https://www.instagram.com/p/DU0-rvQiSl3/,Comenta PUEDO👇🏽 si quieres empezar en trading desde 0 sin experiencia.,@elgocho,2026-02-16,9085136,878147,9045,56,no
2,DKPsEpJChH_,https://www.instagram.com/p/DKPsEpJChH_/,"En esta cuenta explicaré exactamente como lograr este estilo de vida, sigueme si quieres aprenderlo.",@elgocho,2025-05-29,3275151,272465,2317,59,no
3,DKNHRposvWn,https://www.instagram.com/p/DKNHRposvWn/,Resultados que hablan por sí solos. Mira el video y conoce el impacto real.,@elgocho,2025-05-28,2989466,273682,362,68,no
4,DVlfj_5FBUu,https://www.instagram.com/p/DVlfj_5FBUu/,Comenta PUEDO👇🏽 si quieres empezar en trading desde 0 sin experiencia.,@elgocho,2026-03-07,1785689,162720,1384,47,no
5,DOEhrisjuBE,https://www.instagram.com/p/DOEhrisjuBE/,"Comenta PUEDO 👇🏽 y empieza a hacer trading con una estrategia, que te dice exactamente lo que hacer",@elgocho,2025-09-01,1292271,92863,36787,61,no
6,DV01fmUkoBB,https://www.instagram.com/p/DV01fmUkoBB/,Comenta PUEDO👇🏽 si quieres empezar en trading desde 0 sin experiencia.,@elgocho,2026-03-13,1175711,110685,23201,61,no
7,DPUoM18jpSm,https://www.instagram.com/p/DPUoM18jpSm/,Comenta YO 👇🏽,@elgocho,2025-10-02,710088,28615,29144,49,no
8,DVWGHuLDX1o,https://www.instagram.com/p/DVWGHuLDX1o/,Comenta PUEDO👇🏽 si quieres empezar en trading desde 0 sin experiencia.,@elgocho,2026-03-01,707727,74751,9166,60,no
9,DWJVAAggXR2,https://www.instagram.com/p/DWJVAAggXR2/,Comenta ESTRATEGIA👇🏽 si quieres empezar en trading desde 0 sin experiencia.,@elgocho,2026-03-21,643000,46952,466,59,no
10,DVBVm7eDMyx,https://www.instagram.com/p/DVBVm7eDMyx/,Comenta PUEDO👇🏽 si quieres empezar en trading desde 0 sin experiencia.,@elgocho,2026-02-21,635026,26497,4573,56,no
11,DX0L9H5AfQ3,https://www.instagram.com/p/DX0L9H5AfQ3/,¿Cómo se supera una situación así?,@nayoescobar,2026-05-02,614986,12736,205,161,no
12,DO4GXZMElSy,https://www.instagram.com/p/DO4GXZMElSy/,Comenta PUEDO 👇🏽,@elgocho,2025-09-21,558784,28057,5723,62,no
13,DKxAPWNsVCx,https://www.instagram.com/p/DKxAPWNsVCx/,No te fíes de todos los que dicen hacer “trading”.,@elgocho,2025-06-11,538208,18735,478,67,no
14,DUicHY3il4R,https://www.instagram.com/p/DUicHY3il4R/,Comenta PUEDO👇🏽 si quieres empezar en trading desde 0 sin experiencia.,@elgocho,2026-02-09,399014,44029,2142,68,no
15,DKH9rp8vFNJ,https://www.instagram.com/p/DKH9rp8vFNJ/,"Diles que me sigan en mi cuenta de Instagram, ahí lo explico",@elgocho,2025-05-26,363743,19383,149,45,no
16,DKU1oNOt17W,https://www.instagram.com/p/DKU1oNOt17W/,"Si estás buscando hacer algo distinto al común denominador, y no trabajar todo el día todos los días, sígueme en esta cuenta que te explicaré como hacerlo.",@elgocho,2025-05-31,317175,21395,119,57,no
17,DNNuq0ZOf6T,https://www.instagram.com/p/DNNuq0ZOf6T/,Sígueme en esta cuenta 👇🏽 y te cuento cómo empezar en trading,@elgocho,2025-08-11,315383,15563,160,68,no
18,DUdSkmslAMe,https://www.instagram.com/p/DUdSkmslAMe/,Comenta PUEDO👇🏽 si quieres empezar en trading desde 0 sin experiencia.,@elgocho,2026-02-07,308213,28655,979,63,no
19,DMoJwzruv1n,https://www.instagram.com/p/DMoJwzruv1n/,Comenta PUEDO 👇🏽 y cuidado con los traders de 18 años con Lamborghini’s ⚠️#trading #futuros,@elgocho,2025-07-27,271262,19571,6337,78,no
20,Da0PLvZjanX,https://www.instagram.com/p/Da0PLvZjanX/,Comenta la palabra CLASE y te mando toda la información👌🏻👇🏻,@elgocho,2026-07-15,242415,6112,377,70,no
21,DMyKfK3udB1,https://www.instagram.com/p/DMyKfK3udB1/,Sígueme y te enseño cómo empezar en trading desde 0! #trading #futuros,@elgocho,2025-07-31,234493,8493,243,67,no
22,DPCO4OujsFn,https://www.instagram.com/p/DPCO4OujsFn/,Comenta YO 👇🏽,@elgocho,2025-09-25,213117,9320,5182,59,no
23,DORqBRqjvIu,https://www.instagram.com/p/DORqBRqjvIu/,Comenta PUEDO👇🏽 y te revelo cómo pasar tu primera cuenta de fondeo en menos de 1 semana.,@elgocho,2025-09-06,195173,5621,5046,43,no
24,DP1l9OaDhz5,https://www.instagram.com/p/DP1l9OaDhz5/,Comenta PUEDO 👇🏽,@elgocho,2025-10-15,182621,5729,1699,37,no
25,DTfnrNXkWRE,https://www.instagram.com/p/DTfnrNXkWRE/,Comenta PUEDO 👇🏽 si quieres aprender una habilidad que te haga libre este 2026,@elgocho,2026-01-14,162154,9184,309,68,no
26,DVQyZggiWEB,https://www.instagram.com/p/DVQyZggiWEB/,Comenta PUEDO👇🏽 si quieres empezar en trading desde 0 sin experiencia.,@elgocho,2026-02-27,138949,9531,497,66,no
27,DV6Nc-DguF1,https://www.instagram.com/p/DV6Nc-DguF1/,Comenta PUEDO👇🏽 si quieres empezar en trading desde 0 sin experiencia.,@elgocho,2026-03-15,116032,2738,604,67,no
28,DNRSyS4u1Z8,https://www.instagram.com/p/DNRSyS4u1Z8/,Comenta PUEDO 👇🏽 si quieres empezar a hacer trading con una estrategia rentable,@elgocho,2025-08-12,111299,5193,4615,42,no
29,DRUdao0DlQ7,https://www.instagram.com/p/DRUdao0DlQ7/,Comenta PUEDO 👇🏽 y te mando una clase para que sepas exactamente cómo puedes empezar a hacer trading sin experiencia previa,@elgocho,2025-11-21,101800,4940,1750,71,no
30,DPhVdXljl3N,https://www.instagram.com/p/DPhVdXljl3N/,Comenta YO 👇🏽,@elgocho,2025-10-07,98935,2359,3485,52,no
31,DPHpa_rjlmQ,https://www.instagram.com/p/DPHpa_rjlmQ/,Comenta YO,@elgocho,2025-09-27,85492,1715,665,31,no
32,DPMhPk_jqmQ,https://www.instagram.com/p/DPMhPk_jqmQ/,Comenta YO,@elgocho,2025-09-29,72159,1476,1157,37,no
33,DOqiI7wEfqL,https://www.instagram.com/p/DOqiI7wEfqL/,Comenta PUEDO 👇🏽,@elgocho,2025-09-16,71546,1984,677,57,no
34,DMLxijjO5wN,https://www.instagram.com/p/DMLxijjO5wN/,Comenta PUEDO y aplica para aprender la estrategia con la que hemos conseguido +25M de dólares en cuentas de fondeo #trading #apex #evaluación,@elgocho,2025-07-16,70581,2375,2714,52,no
35,DSvDGynjHtS,https://www.instagram.com/p/DSvDGynjHtS/,Comenta CLASE 👇🏽,@elgocho,2025-12-26,70013,993,946,42,no
36,DKAeEd0C_vs,https://www.instagram.com/p/DKAeEd0C_vs/,"Cuando tengas instagram, sigueme en mi cuenta de Instagram",@elgocho,2025-05-23,66013,1612,17,47,no
37,DRuIB3JDpnQ,https://www.instagram.com/p/DRuIB3JDpnQ/,Comenta PUEDO 👇🏽 si quieres saber cómo puedes empezar a hacer trading sin experiencia,@elgocho,2025-12-01,65473,2083,184,63,no
38,DMwJYrrucpR,https://www.instagram.com/p/DMwJYrrucpR/,Comenta PUEDO 👇🏽 si quieres empezar a hacer trading real #trading,@elgocho,2025-07-31,64465,2538,1586,50,no
39,DTBc0DKDqy9,https://www.instagram.com/p/DTBc0DKDqy9/,Comenta la palabra PUEDO👇🏽,@elgocho,2026-01-02,62668,2627,836,65,no
40,DM_Z5TZOOPT,https://www.instagram.com/p/DM_Z5TZOOPT/,Comenta PUEDO 👇🏽,@elgocho,2025-08-05,58028,1124,651,23,no
41,DObJLHIjuWc,https://www.instagram.com/p/DObJLHIjuWc/,Comenta PUEDO 👇🏽,@elgocho,2025-09-10,57939,1952,619,51,no
42,DUsvU2zCsEk,https://www.instagram.com/p/DUsvU2zCsEk/,Comenta PUEDO👇🏽 si quieres empezar en trading desde 0 sin experiencia.,@elgocho,2026-02-13,57419,3021,230,70,no
43,DW3ulSvDbdU,https://www.instagram.com/p/DW3ulSvDbdU/,Comenta ESTRATEGIA👇🏽 si quieres empezar en trading desde 0 sin experiencia.,@elgocho,2026-04-08,55075,2735,122,66,no
44,DNq0lS6O8Ym,https://www.instagram.com/p/DNq0lS6O8Ym/,Comenta la palabra PUEDO 👇🏽 si quieres empezar a hacer trading con una estrategia rentable,@elgocho,2025-08-22,53885,1510,1242,39,no
45,DLIFt4pOgBY,https://www.instagram.com/p/DLIFt4pOgBY/,Sígueme si quieres aprender como tener más tiempo para tu familia y tus hijos 🤍. #trading #futuros #hija,@elgocho,2025-06-20,53740,1603,35,64,no
46,DKfI3ddpKbU,https://www.instagram.com/p/DKfI3ddpKbU/,"Nada de nuevas Jordans! Pero si quieres aprender a hacer Trading, claro que te explico... solo sigueme en esta cuenta que te lo explicaré todo.",@elgocho,2025-06-04,52631,1563,25,39,no
47,DKC0EVUBzrg,https://www.instagram.com/p/DKC0EVUBzrg/,"Sigueme, si tu tambien quieres saber como generar mas ingresos siendo padre y poder tener mas tiempo para tus hijos.💪",@elgocho,2025-05-24,51145,1655,51,112,no
48,DLK4RswO2v9,https://www.instagram.com/p/DLK4RswO2v9/,Sígueme 👇🏽 no te dejes llevar por los lujos #trading,@elgocho,2025-06-21,50842,1718,37,60,no
49,DMVRzpcuJY1,https://www.instagram.com/p/DMVRzpcuJY1/,Sígueme 👇🏽 y te muestro como hacer trading de verdad.,@elgocho,2025-07-20,50470,1434,917,52,no
50,DNWI4VsO6AF,https://www.instagram.com/p/DNWI4VsO6AF/,Comenta PUEDO 👇🏽 y te explico cómo puedes empezar a hacer trading,@elgocho,2025-08-14,50094,1389,584,45,no
51,DNvpIzSXJ-5,https://www.instagram.com/p/DNvpIzSXJ-5/,"Comenta PUEDO 👇🏽 si quieres aprender a generar 5.000$ con trading, sin tener que venderle nada a nadie, ni proveedores",@elgocho,2025-08-24,48114,1207,397,43,no
52,DVGfPoGD72-,https://www.instagram.com/p/DVGfPoGD72-/,Comenta PUEDO👇🏽 si quieres empezar en trading desde 0 sin experiencia.,@elgocho,2026-02-23,47992,1275,324,65,no
53,DK2KDulupJB,https://www.instagram.com/p/DK2KDulupJB/,Sigueme en esta cuenta👇🏼,@elgocho,2025-06-13,46655,1438,29,39,no
54,DNJEhR-O-TE,https://www.instagram.com/p/DNJEhR-O-TE/,"Sígueme 👇🏽 si quieres empezar en trading con una estrategia rentable, y hacer trading desde la primera semana #trading #futuros #papá",@elgocho,2025-08-09,46264,1092,25,23,no
55,DLSjCTgO_R_,https://www.instagram.com/p/DLSjCTgO_R_/,Sígueme si quieres aprender a hacer trading con una metodología rentable. 👇🏽,@elgocho,2025-06-24,46116,1437,25,51,no
56,DM3GwCbO-FK,https://www.instagram.com/p/DM3GwCbO-FK/,"Comenta PUEDO 👇🏽 para empezar a hacer trading con una estrategia rentable, con toda la estadística",@elgocho,2025-08-02,45714,1632,1387,70,no
57,DVgV_SOFLgv,https://www.instagram.com/p/DVgV_SOFLgv/,Comenta PUEDO👇🏽 si quieres empezar en trading desde 0 sin experiencia.,@elgocho,2026-03-05,45213,2618,205,68,no
58,DPl7hm8Dm-z,https://www.instagram.com/p/DPl7hm8Dm-z/,Comenta YO 👇🏽,@elgocho,2025-10-09,43488,1004,536,52,no
59,DU3ylwiDtLM,https://www.instagram.com/p/DU3ylwiDtLM/,Comenta PUEDO👇🏽 si quieres empezar en trading desde 0 sin experiencia.,@elgocho,2026-02-17,41261,1604,84,52,no
60,DLC652uOfbC,https://www.instagram.com/p/DLC652uOfbC/,Sígueme si quieres probar un sistema de trading regulado🤝,@elgocho,2025-06-18,40896,1127,26,50,no
61,DOhDDIpjpR3,https://www.instagram.com/p/DOhDDIpjpR3/,Comenta PUEDO 👇🏽,@elgocho,2025-09-12,39966,1117,496,48,no
62,DVLoy27lnri,https://www.instagram.com/p/DVLoy27lnri/,Comenta PUEDO👇🏽 si quieres empezar en trading desde 0 sin experiencia.,@elgocho,2026-02-25,39155,1153,61,62,no
63,DP6bUKyjpJt,https://www.instagram.com/p/DP6bUKyjpJt/,Comenta YO 👇🏽,@elgocho,2025-10-17,37932,937,361,57,no
64,DO8wt4IDo0u,https://www.instagram.com/p/DO8wt4IDo0u/,Comenta YO 👇🏽,@elgocho,2025-09-23,37907,877,1157,51,no
65,DN0x_yh3JjR,https://www.instagram.com/p/DN0x_yh3JjR/,Comenta PUEDO 👇🏽,@elgocho,2025-08-26,36292,874,471,64,no
66,DKFY2x3KPgH,https://www.instagram.com/p/DKFY2x3KPgH/,"No me veras con ropa de gucci, pero si quieres saber como generar mas ingresos, sigueme💪",@elgocho,2025-05-25,36266,1133,17,64,no
67,DKZ_NOih_Yi,https://www.instagram.com/p/DKZ_NOih_Yi/,"Si quieres trabajar desde cualquier lado, solo con una computadora o celular, sígueme en esta cuenta que te explicaré exactamente como hacerlo.",@elgocho,2025-06-02,35605,902,34,56,no
68,DOljfgnDiF7,https://www.instagram.com/p/DOljfgnDiF7/,Comenta PUEDO 👇🏽,@elgocho,2025-09-14,34938,561,227,53,no
69,DOwxcqwjkoZ,https://www.instagram.com/p/DOwxcqwjkoZ/,Comenta YO 👇🏽,@elgocho,2025-09-18,34870,869,64,59,no
70,DLdEGrLukjf,https://www.instagram.com/p/DLdEGrLukjf/,"Sígueme y te enseño una profesion en la que lo que ganas no depende de las horas que hagas, ayúdame a decirle a Cami que influencer no es una buena profesión 😂",@elgocho,2025-06-28,34293,1193,15,73,no
71,DbnhIMGikOh,https://www.instagram.com/p/DbnhIMGikOh/,Sigueme aqui👇,@elgocho,2026-08-04,33646,839,28,36,no
72,DN5oAgLDmcE,https://www.instagram.com/p/DN5oAgLDmcE/,Comenta PUEDO si quieres aprender a hacer trading con una estrategia de trading rentable,@elgocho,2025-08-28,32393,883,322,43,no
73,DOMdd1Tjowo,https://www.instagram.com/p/DOMdd1Tjowo/,Comenta PUEDO y te revelo el secreto para fondear cuentas de trading en 1 solo trade 👇🏽,@elgocho,2025-09-04,31598,650,318,43,no
74,DQUq0ZJjm39,https://www.instagram.com/p/DQUq0ZJjm39/,Comenta PUEDO 👇🏽,@elgocho,2025-10-27,29996,790,173,62,no
75,DOV7rPxjkIo,https://www.instagram.com/p/DOV7rPxjkIo/,Comenta PUEDO👇🏽,@elgocho,2025-09-08,28569,705,490,54,no
76,DPbZe6RjtGp,https://www.instagram.com/p/DPbZe6RjtGp/,Comenta YO 👇🏽,@elgocho,2025-10-05,28542,478,535,50,no
77,DN_bFwVDgGk,https://www.instagram.com/p/DN_bFwVDgGk/,Comenta PUEDO 👇🏽,@elgocho,2025-08-30,28325,1040,667,64,no
78,Da-bxASDN8Z,https://www.instagram.com/p/Da-bxASDN8Z/,Comenta la palabra PUEDO y te mando toda la información👌🏻👇🏻,@elgocho,2026-07-19,28067,1088,84,69,no
79,DWtYMjdmFK8,https://www.instagram.com/p/DWtYMjdmFK8/,Comenta ESTRATEGIA👇🏽 si quieres empezar en trading desde 0 sin experiencia.,@elgocho,2026-04-04,26817,717,41,67,no
80,DPq4TJLjBUp,https://www.instagram.com/p/DPq4TJLjBUp/,Comenta YO 👇🏽,@elgocho,2025-10-11,26539,686,489,60,no
81,DT0De7RDmnf,https://www.instagram.com/p/DT0De7RDmnf/,Sígueme en esta cuenta si quieres dejar de depender de una sola fuente de ingresos.,@elgocho,2026-01-22,26499,754,8,58,no
82,DNlOBUjuzfX,https://www.instagram.com/p/DNlOBUjuzfX/,Comenta PUEDO 👆🏽 y te mando una clase para que aprendas un sistema de trading rentable,@elgocho,2025-08-20,26471,567,404,59,no
