n,url,titulo,plataforma,cuenta,fecha,views,likes,comments,duracion_seg,formato,transcripto
1,https://www.youtube.com/watch?v=ca0qW76tcUc,"Por Qué la Mayoria Fracasa en el Trading (Demostrado por la Ciencia)",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,673,video-largo,no
2,https://www.youtube.com/watch?v=SWiwNT33v_c,"Esta Es La Estrategia De Trading Que Seguiría ( Si Solo Tuviera $100 )",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,436,video-largo,no
3,https://www.youtube.com/watch?v=MdP3lLlxV8A,"Los Únicos 2 Indicadores que Necesitas ( +5M$ )",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,439,video-largo,no
4,https://www.youtube.com/watch?v=zu3nhZCJGrk,"Me hice millonario a mis 40 ( trabajando 3 horas )",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1345,video-largo,no
5,https://www.youtube.com/watch?v=7vLvgb-HYPE,"Ser Rentable en Trading es Sencillo ( paso a paso )",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,876,video-largo,no
6,https://www.youtube.com/watch?v=_UacdgYC10s,"Por Qué el Trading de Futuros es x1000 mejor que CFDs",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,720,video-largo,no
7,https://www.youtube.com/watch?v=D2Kr4z4dihg,"Como Fondear 1.000.000$ en Trading en 5 Minutos ( caso real )",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1396,video-largo,no
8,https://www.youtube.com/watch?v=PcxYDQMfSmk,"Cómo dejar de Sabotear tu Trading ( Psicología del Trading )",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,878,video-largo,no
9,https://www.youtube.com/watch?v=cKoZldmcJ84,"Mejores Empresas de Fondeo para vivir del Trading en 2026",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1018,video-largo,no
10,https://www.youtube.com/watch?v=hgp6c5ghuig,"Cómo Usar ChatGPT Para Hacer Trading ( estrategia +200.000$/año )",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,664,video-largo,no
11,https://www.youtube.com/watch?v=f5hyGjbpx_8,"El MEJOR Tutorial de Trading Para Novatos Paso a Paso    Guía De Trading   30 MINUTOS O MAS",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,3084,video-largo,no
12,https://www.youtube.com/watch?v=mzqCIL8Bdjw,"Veterano del Trading revela Tips que te haran rentable",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1035,video-largo,no
13,https://www.youtube.com/watch?v=lKlkird1cFA,"El mejor video de Psicotrading que verás en tu vida (Así retiré +200k$)",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,2731,video-largo,no
14,https://www.youtube.com/watch?v=AK8xBgvsGjI,"La UNICA estrategia de Trading que NECESITAS este 2026",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1111,video-largo,no
15,https://www.youtube.com/watch?v=XYwNYnjWHYc,"Trading with $300 in 2026",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,182,video-largo,no
16,https://www.youtube.com/watch?v=U_jeXvHepHM,"Si estas pensando en ABANDONAR el Trading, mira esto",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,342,video-largo,no
17,https://www.youtube.com/watch?v=i8eH4eB8ALo,"DRAWDOWN el DOLOR DE CABEZA del Fondeo",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,434,video-largo,no
18,https://www.youtube.com/watch?v=jh2tr8iel3Y,"Las empresas de fondeo no quieren que sepas esto ( cópiame )",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1219,video-largo,no
19,https://www.youtube.com/watch?v=TbW6Du81XEE,"3 Mejores Laptop para Trading",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,577,video-largo,no
20,https://www.youtube.com/watch?v=nTGGi7Ufn0w,"NUNCA hagas Trading sin saber esto",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,434,video-largo,no
21,https://www.youtube.com/watch?v=Kk3YBGYazgg,"Como fondearte en trading en 5 minutos ( caso real )",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1079,video-largo,no
22,https://www.youtube.com/watch?v=2GzVoqUJf1Q,"Atentos desde Venezuela Trading en Futuros 5 en Copiadoras",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,461,video-largo,no
23,https://www.youtube.com/watch?v=yGeV22oThr8,"Gane 40,000$ en 3 semanas y te explico cómo",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,273,video-largo,no
24,https://www.youtube.com/watch?v=yN8Z5I4CRp4,"Aplique mi estrategia y saque 6,000$ del mercado en una sola operación",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,204,video-largo,no
25,https://www.youtube.com/watch?v=LEBQkb3D0JI,"Gane 50,000$ en 30 minutos haciendo trading",youtube,@Gocholive,SIN DATO,SIN DATO,SIN DATO,SIN DATO,322,video-largo,no
