n,url,titulo,plataforma,cuenta,fecha,views,likes,comments,formato,transcripto
1,https://www.instagram.com/reel/DU0-rvQiSl3/,Comenta PUEDO si quieres empezar en trading desde 0,instagram,@elgocho,2026-02-16,8664883,842339,8721,reel,no
2,https://www.instagram.com/reel/DKPsEpJChH_/,En esta cuenta explicare exactamente como lograr este estilo de vida,instagram,@elgocho,2025-05-29,3274382,272663,2322,reel,no
3,https://www.instagram.com/reel/DKNHRposvWn/,Resultados que hablan por si solos,instagram,@elgocho,2025-05-28,2988781,273897,362,reel,no
4,https://www.instagram.com/reel/DVlfj_5FBUu/,Comenta PUEDO si quieres empezar en trading desde 0,instagram,@elgocho,2026-03-07,1768247,161797,1374,reel,no
5,https://www.instagram.com/reel/DOEhrisjuBE/,"Comenta PUEDO y empieza a hacer trading con una estrategia, que te dice exa",instagram,@elgocho,2025-09-01,1292173,92934,36823,reel,no
6,https://www.instagram.com/reel/DV01fmUkoBB/,Comenta PUEDO si quieres empezar en trading desde 0,instagram,@elgocho,2026-03-13,1136156,107397,21798,reel,no
7,https://www.instagram.com/reel/DPUoM18jpSm/,Comenta YO y te revelo como empezar a hacer trading,instagram,@elgocho,2025-10-02,710048,28637,29168,reel,no
8,https://www.instagram.com/reel/DVWGHuLDX1o/,Comenta PUEDO si quieres empezar en trading desde 0,instagram,@elgocho,2026-03-01,706405,74723,9161,reel,no
9,https://www.instagram.com/reel/DWJVAAggXR2/,Comenta ESTRATEGIA si quieres empezar en trading desde 0,instagram,@elgocho,2026-03-21,642820,47020,466,reel,no
10,https://www.instagram.com/reel/DVBVm7eDMyx/,Comenta PUEDO si quieres empezar en trading desde 0,instagram,@elgocho,2026-02-21,634989,26508,4573,reel,no
11,https://www.instagram.com/reel/DX0L9H5AfQ3/,Como se supera una situacion asi,instagram,@elgocho,2026-05-02,605055,12425,204,reel,no
12,https://www.instagram.com/reel/DO4GXZMElSy/,Comenta PUEDO,instagram,@elgocho,2025-09-21,558770,28075,5724,reel,no
13,https://www.instagram.com/reel/DKxAPWNsVCx/,No te fies de todos los que dicen hacer trading,instagram,@elgocho,2025-06-11,538182,18743,478,reel,no
14,https://www.instagram.com/reel/DJ-TrTlpNl2/,"Que me sigan en mi cuenta personal de Instagram, ahi ex",instagram,@elgocho,2025-05-22,522615,23740,862,reel,no
