n,shortcode,url,caption,cuenta,fecha,views,likes,comments,duracion_seg,transcripto
1,DbBJ8x-x-gs,https://www.instagram.com/p/DbBJ8x-x-gs/,#elsensei #senseiprofe,@librosdelsensei,2026-07-20,820523,54804,209,33,no
2,DWpJDu3Alyb,https://www.instagram.com/p/DWpJDu3Alyb/,Importante,@elsensei,2026-04-02,322027,7039,79,58,no
3,DXAEtk1gu5H,https://www.instagram.com/p/DXAEtk1gu5H/,Tomen nota 📝,@elsensei,2026-04-11,211130,5328,112,46,no
4,DXUT_Fzjmkv,https://www.instagram.com/p/DXUT_Fzjmkv/,Me faltó alguno?,@elsensei,2026-04-19,170865,5210,252,40,no
5,DbDuNFSxAos,https://www.instagram.com/p/DbDuNFSxAos/,#elsensei #senseiprofe,@librosdelsensei,2026-07-21,169847,14753,79,49,no
6,DW14OHlgsTt,https://www.instagram.com/p/DW14OHlgsTt/,Amén 🙏🏼,@elsensei,2026-04-07,148972,8589,352,51,no
7,DbGiuydCmVO,https://www.instagram.com/p/DbGiuydCmVO/,Este libro se merece un lugar en tu lista de lectura…,@elsensei,2026-07-22,123331,6781,110,30,no
8,DWt3PXtDj3s,https://www.instagram.com/p/DWt3PXtDj3s/,Sigue esta regla todos los días,@elsensei,2026-04-04,119463,4008,31,50,no
9,DbgZgB4CI1O,https://www.instagram.com/p/DbgZgB4CI1O/,Comenta 👇🏼 “Yo”,@elsensei,2026-08-01,119369,9124,3649,50,no
10,DWhMi81gpKn,https://www.instagram.com/p/DWhMi81gpKn/,Guarda el mensaje,@elsensei,2026-03-30,117700,2259,48,53,no
11,DbIn9eIOh7c,https://www.instagram.com/p/DbIn9eIOh7c/,Te vas a ahorrar meses de lectura con este ranking. ¿Que opinas? 👀📚,@elsensei,2026-07-23,116386,3448,114,50,no
12,DZJTHfPxta5,https://www.instagram.com/p/DZJTHfPxta5/,#elsensei #senseiprofe,@librosdelsensei,2026-06-04,116369,10301,29,39,no
13,DW3_Hh6DrVU,https://www.instagram.com/p/DW3_Hh6DrVU/,Tu mente crea tu realidad,@elsensei,2026-04-08,115478,3539,91,48,no
14,DbvnTyyu8ES,https://www.instagram.com/p/DbvnTyyu8ES/,Sígueme —> @senseiprofe,@elsensei,2026-08-07,113681,1517,60,33,no
15,DWomv9tDrF2,https://www.instagram.com/p/DWomv9tDrF2/,Lean esto 911,@elsensei,2026-04-02,107733,3281,21,47,no
16,DWjwK8BgmtA,https://www.instagram.com/p/DWjwK8BgmtA/,Comparte con un amigo,@elsensei,2026-03-31,106320,2932,39,33,no
17,Dbmctu7sDFo,https://www.instagram.com/p/Dbmctu7sDFo/,Preocúpate de enfocarte en ti,@elsensei,2026-08-04,100879,2061,49,44,no
18,DbBMXj6uYdx,https://www.instagram.com/p/DbBMXj6uYdx/,Una mujer inteligente sabe lo que se merece!!,@elsensei,2026-07-20,92870,2863,249,35,no
