n,url,titulo,plataforma,cuenta,fecha,views,likes,comments,formato,transcripto
1,https://vm.tiktok.com/ZMAXhYBm6,top semanal @senseielcoach ZMAXhYBm6,tiktok,@senseielcoach,2025-10-09,,,,tiktok,no
2,https://vm.tiktok.com/ZMA9vrVeF,top semanal @senseielcoach ZMA9vrVeF,tiktok,@senseielcoach,2025-10-02,,,,tiktok,no
3,https://www.youtube.com/shorts/9AKEHMFFP8A,top semanal @senseielcoach 9AKEHMFFP8A,youtube,@senseielcoach,2025-08-01,,,,short,no
4,https://vm.tiktok.com/ZMAqmMgxR,top semanal @senseirich_ ZMAqmMgxR,tiktok,@senseirich_,2025-10-16,,,,tiktok,no
5,https://vm.tiktok.com/ZMAXhmuhX,top semanal @senseirich_ ZMAXhmuhX,tiktok,@senseirich_,2025-10-09,,,,tiktok,no
6,https://vm.tiktok.com/ZMAgk5FG9,top semanal @carrosdelsensei ZMAgk5FG9,tiktok,@carrosdelsensei,2025-09-05,,,,tiktok,no
7,https://www.tiktok.com/@relojesdelsensei/video/7566307642499484935,top semanal @relojesdelsensei 7566307642499484935,tiktok,@relojesdelsensei,2025-10-22,,,,tiktok,no
8,https://www.tiktok.com/@relojesdelsensei/video/7562228444730281224,top semanal @relojesdelsensei 7562228444730281224,tiktok,@relojesdelsensei,2025-10-16,,,,tiktok,no
9,https://vm.tiktok.com/ZMA9vNnhs,top semanal @carrosdelsensei ZMA9vNnhs,tiktok,@carrosdelsensei,2025-10-02,,,,tiktok,no
10,https://vm.tiktok.com/ZMAqmeofH,top semanal @senseielcoach ZMAqmeofH,tiktok,@senseielcoach,2025-10-16,,,,tiktok,no
11,https://vm.tiktok.com/ZMAqmNpRJ,top semanal @carrosdelsensei ZMAqmNpRJ,tiktok,@carrosdelsensei,2025-10-16,,,,tiktok,no
12,https://www.youtube.com/shorts/Hcf0xsBlDJU,top semanal @carrosdelsensei Hcf0xsBlDJU,youtube,@carrosdelsensei,2025-08-01,,,,short,no
13,https://www.youtube.com/shorts/Ymuuy7Tghr4,top semanal @elsenseireel Ymuuy7Tghr4,youtube,@elsenseireel,2025-10-09,,,,short,no
14,https://vm.tiktok.com/ZMAtVAcjc,top semanal @senseielcoach ZMAtVAcjc,tiktok,@senseielcoach,2025-10-29,,,,tiktok,no
15,https://www.youtube.com/shorts/QAEyfUyHcTo,top semanal @senseirich_ QAEyfUyHcTo,youtube,@senseirich_,2025-11-12,,,,short,no
