n,shortcode,url,caption,cuenta,fecha,views,likes,comments,duracion_seg,transcripto
1,DAg2pofSqLD,https://www.instagram.com/p/DAg2pofSqLD/,"Escribe ""Reto"" en comentarios para ver el método para ganar 3.000€ en 7 días que va a seguir Amin",@victorherasemprendedor,2024-09-29,7262389,243657,92207,88,no
2,DQ97koEEQWs,https://www.instagram.com/p/DQ97koEEQWs/,"Si quieres conseguir videos virales de tu nicho en concreto, coméntame tu nicho👇👇",@herasmedia,2025-11-12,4645081,224242,4149,21,no
3,DA1ZY5ESsnU,https://www.instagram.com/p/DA1ZY5ESsnU/,"Si quieres Aprender a hacer lo Mismo, comenta la palabra “RETO”",@victorherasemprendedor,2024-10-07,1953317,38727,18955,38,no
4,DXzUw8jthB3,https://www.instagram.com/p/DXzUw8jthB3/,Así me rob4ron el Ferrari….,@victorherasemprendedor,2026-05-01,1910519,25136,2722,69,no
5,DXzUw8jthB3,https://www.instagram.com/p/DXzUw8jthB3/,Así me rob4ron el Ferrari….,@victorherasemprendedor,2026-05-01,1910519,25136,2722,69,no
6,DYur-tjvboE,https://www.instagram.com/p/DYur-tjvboE/,🥱,@victorherasemprendedor,2026-05-24,800442,51816,838,10,no
7,DTQghEPke4O,https://www.instagram.com/p/DTQghEPke4O/,Y los del PSOE?🥺,@victorherasemprendedor,2026-01-08,736008,6239,360,32,no
8,DQZxmb7ESyw,https://www.instagram.com/p/DQZxmb7ESyw/,"Sí quieres saber cómo hacerte viral con tu nicho como lo hice con Alfredo, comenta tu nicho en comentarios y hablamos👇👇",@herasmedia,2025-10-29,731473,32204,19053,45,no
9,DXsDN_ikXOQ,https://www.instagram.com/p/DXsDN_ikXOQ/,"Comenta ""VIRAL”👇🏼 si quieres saber cómo hacerte viral y conseguir 100.000 seguidores en 30 días según tu sector",@herasmedia,2026-04-28,621100,58423,2455,80,no
10,DXKExrOEx8_,https://www.instagram.com/p/DXKExrOEx8_/,Comenta la palabra “RETO” 👇🏼 si quieres entrar a los grupos de WhatsApp y ver toda la metodología que estamos usando.,@victorherasreels,2026-04-15,590140,94452,14256,55,no
11,DS-yoTNkruT,https://www.instagram.com/p/DS-yoTNkruT/,Tal vez el año que viene 🥲,@victorherasemprendedor,2026-01-01,528360,19490,60,30,no
12,DAyM0cSPnoB,https://www.instagram.com/p/DAyM0cSPnoB/,No puede ser que gaste tanto en 1 Mes,@victorherasemprendedor,2024-10-06,441441,5266,3688,110,no
13,DH33thfx8H4,https://www.instagram.com/p/DH33thfx8H4/,Así llegamos a 170.000 seguidores en 5 días con @christian_villar,@herasmedia,2025-03-31,413470,10574,18794,63,no
14,DTi0u7IkS6U,https://www.instagram.com/p/DTi0u7IkS6U/,"Si quieres saber cuál es la metodología que utilice con sensei para pasar de 130 Mil seguidores a 1 Millón, comenta la palabra ""SENSEI"" 👇",@herasmedia,2026-01-15,399324,29839,13564,61,no
15,DNvc-qX4uUe,https://www.instagram.com/p/DNvc-qX4uUe/,"Hay varias cosas que afectan directamente a tus views, el saberlas y usarlas correctamente puede hacer que consigas +1M de views en el primer vídeo.",@herasmedia,2025-08-24,396238,10797,17088,47,no
